iter	Passed	Remaining
799	109601	54800
800	109731	54660
801	109861	54519
802	110002	54384
803	110137	54246
804	110265	54105
805	110396	53965
806	110530	53826
807	110657	53685
808	110787	53544
809	110916	53404
810	111050	53266
811	111184	53127
812	111313	52986
813	111447	52848
814	111589	52713
815	111722	52575
816	111855	52436
817	111988	52297
818	112127	52162
819	112258	52022
820	112394	51884
821	112526	51745
822	112656	51605
823	112787	51466
824	112929	51331
825	113074	51198
826	113207	51059
827	113339	50920
828	113467	50779
829	113602	50642
830	113731	50501
831	113862	50362
832	113994	50223
833	114125	50083
834	114260	49946
835	114393	49807
836	114528	49670
837	114658	49530
838	114789	49391
839	114948	49263
840	115084	49126
841	115217	48988
842	115344	48847
843	115476	48708
844	115606	48568
845	115738	48429
846	115869	48290
847	116003	48152
848	116140	48015
849	116271	47876
850	116404	47738
851	116534	47598
852	116662	47458
853	116789	47317
854	116921	47178
855	117059	47042
856	117190	46903
857	117324	46765
858	117455	46626
859	117588	46488
860	117723	46350
861	117857	46213
862	117996	46077
863	118131	45940
864	118263	45801
865	118407	45667
866	118533	45526
867	118666	45388
868	118803	45252
869	118932	45112
870	119061	44972
871	119190	44833
872	119332	44698
873	119466	44560
874	119594	44420
875	119728	44283
876	119859	44144
877	119990	44005
878	120124	43867
879	120259	43730
880	120398	43594
881	120529	43456
882	120656	43316
883	120782	43175
884	120911	43036
885	121055	42902
886	121192	42765
887	121326	42628
888	121465	42492
889	121595	42353
890	121725	42214
891	121852	42074
892	121987	41937
893	122133	41804
894	122270	41667
895	122409	41531
896	122543	41394
897	122671	41254
898	122801	41116
899	122935	40978
900	123068	40840
901	123199	40702
902	123332	40564
903	123461	40425
904	123600	40289
905	123725	40149
906	123855	40010
907	123993	39874
908	124133	39739
909	124292	39609
910	124427	39472
911	124556	39333
912	124684	39194
913	124821	39057
914	124957	38921
915	125089	38783
916	125226	38646
917	125368	38511
918	125499	38373
919	125627	38234
920	125759	38096
921	125887	37957
922	126020	37819
923	126159	37683
924	126291	37545
925	126430	37410
926	126561	37272
927	126689	37133
928	126827	36997
929	126960	36859
930	127093	36721
931	127224	36583
932	127353	36445
933	127480	36305
934	127610	36167
935	127742	36030
936	127871	35891
937	128012	35756
938	128143	35618
939	128273	35479
940	128401	35341
941	128532	35203
942	128662	35064
943	128793	34927
944	128926	34789
945	129057	34651
946	129186	34513
947	129319	34375
948	129453	34239
949	129579	34099
950	129710	33962
951	129841	33824
952	129970	33685
953	130104	33548
954	130231	33410
955	130363	33272
956	130491	33134
957	130630	32998
958	130764	32861
959	130908	32727
960	131048	32591
961	131179	32453
962	131313	32316
963	131451	32180
964	131603	32048
965	131749	31914
966	131890	31779
967	132042	31646
968	132178	31510
969	132325	31376
970	132463	31240
971	132601	31104
972	132740	30968
973	132877	30831
974	133011	30695
975	133152	30559
976	133284	30422
977	133415	30284
978	133553	30148
979	133690	30012
980	133833	29877
981	133966	29740
982	134099	29602
983	134230	29465
984	134367	29328
985	134494	29190
986	134624	29052
987	134761	28916
988	134896	28779
989	135028	28642
990	135156	28504
991	135285	28366
992	135414	28228
993	135547	28091
994	135683	27954
995	135812	27817
996	135953	27681
997	136096	27546
998	136258	27415
999	136421	27284
1000	136559	27148
1001	136699	27012
1002	136849	26878
1003	136990	26743
1004	137138	26608
1005	137281	26473
1006	137428	26339
1007	137560	26201
1008	137689	26064
1009	137825	25927
1010	137969	25792
1011	138114	25657
1012	138253	25521
1013	138393	25385
1014	138523	25248
1015	138659	25111
1016	138787	24973
1017	138912	24835
1018	139040	24697
1019	139166	24558
1020	139303	24422
1021	139434	24285
1022	139565	24147
1023	139695	24010
1024	139829	23873
1025	139956	23735
1026	140085	23597
1027	140216	23460
1028	140353	23324
1029	140483	23186
1030	140607	23048
1031	140736	22910
1032	140873	22774
1033	141003	22636
1034	141133	22499
1035	141274	22363
1036	141407	22227
1037	141537	22089
1038	141663	21951
1039	141792	21814
1040	141928	21677
1041	142054	21539
1042	142181	21402
1043	142310	21264
1044	142446	21128
1045	142578	20991
1046	142717	20855
1047	142850	20718
1048	142978	20581
1049	143112	20444
1050	143245	20307
1051	143381	20171
1052	143511	20034
1053	143654	19898
1054	143783	19761
1055	143916	19625
1056	144047	19487
1057	144187	19352
1058	144322	19215
1059	144450	19078
1060	144585	18941
1061	144739	18807
1062	144869	18670
1063	145010	18535
1064	145146	18398
1065	145277	18261
1066	145411	18125
1067	145555	17989
1068	145681	17852
1069	145811	17715
1070	145957	17580
1071	146094	17444
1072	146220	17306
1073	146355	17170
1074	146485	17033
1075	146621	16896
1076	146754	16760
1077	146885	16623
1078	147014	16486
1079	147148	16349
1080	147276	16212
1081	147405	16075
1082	147540	15939
1083	147698	15805
1084	147826	15668
1085	147957	15531
1086	148094	15395
1087	148226	15258
1088	148352	15121
1089	148494	14985
1090	148625	14848
1091	148752	14711
1092	148889	14575
1093	149019	14438
1094	149151	14302
1095	149281	14165
1096	149419	14029
1097	149551	13892
1098	149681	13755
1099	149810	13619
1100	149937	13482
1101	150069	13345
1102	150200	13208
1103	150333	13072
1104	150464	12935
1105	150595	12799
1106	150728	12662
1107	150872	12527
1108	151002	12390
1109	151128	12253
1110	151257	12116
1111	151392	11980
1112	151518	11843
1113	151653	11707
1114	151781	11570
1115	151916	11434
1116	152041	11297
1117	152171	11161
1118	152318	11025
1119	152446	10889
1120	152573	10752
1121	152712	10616
1122	152847	10480
1123	152974	10343
1124	153103	10206
1125	153230	10070
1126	153360	9933
1127	153494	9797
1128	153630	9661
1129	153766	9525
1130	153897	9388
1131	154031	9252
1132	154162	9116
1133	154290	8979
1134	154420	8843
1135	154550	8707
1136	154683	8570
1137	154817	8434
1138	154950	8298
1139	155084	8162
1140	155214	8026
1141	155349	7889
1142	155483	7753
1143	155628	7618
1144	155775	7482
1145	155916	7346
1146	156045	7210
1147	156176	7074
1148	156304	6937
1149	156433	6801
1150	156564	6665
1151	156697	6529
1152	156826	6392
1153	156965	6256
1154	157093	6120
1155	157226	5984
1156	157356	5848
1157	157484	5711
1158	157614	5575
1159	157744	5439
1160	157876	5303
1161	158019	5167
1162	158173	5032
1163	158315	4896
1164	158461	4760
1165	158598	4624
1166	158755	4489
1167	158884	4353
1168	159049	4217
1169	159180	4081
1170	159309	3945
1171	159469	3809
1172	159604	3673
1173	159742	3537
1174	159888	3401
1175	160042	3266
1176	160170	3129
1177	160298	2993
1178	160454	2857
1179	160594	2721
1180	160731	2585
1181	160860	2449
1182	161013	2313
1183	161156	2177
1184	161283	2041
1185	161418	1905
1186	161558	1769
1187	161707	1633
1188	161835	1497
1189	161963	1361
1190	162098	1224
1191	162245	1088
1192	162397	952
1193	162538	816
1194	162678	680
1195	162811	544
1196	162985	408
1197	163135	272
1198	163268	136
1199	163398	0
