iter	Logloss
0	0.6900218747
1	0.6869752796
2	0.6839681945
3	0.6811261935
4	0.6783124021
5	0.67543288
6	0.6726882959
7	0.6699454169
8	0.6673075927
9	0.6647381706
10	0.6621724378
11	0.6596029154
12	0.657188582
13	0.6547567493
14	0.6523866988
15	0.6500391903
16	0.6477546903
17	0.6455874658
18	0.6434956655
19	0.6413659661
20	0.6392811449
21	0.6372310299
22	0.6352299135
23	0.6333243063
24	0.6315488792
25	0.6296702187
26	0.6278282441
27	0.6260176688
28	0.6242038042
29	0.6224801094
30	0.6207244988
31	0.6191535033
32	0.6175129087
33	0.6159552386
34	0.6143948973
35	0.6128270651
36	0.6113641801
37	0.6098121845
38	0.6083751369
39	0.6069415893
40	0.6055394992
41	0.6040352913
42	0.6026397949
43	0.6012780653
44	0.5998828067
45	0.5986036646
46	0.5973342041
47	0.5960404859
48	0.5947750173
49	0.5935845496
50	0.5924534719
51	0.5912096861
52	0.5900852195
53	0.5889995504
54	0.587903569
55	0.5867444305
56	0.5855162734
57	0.5844393541
58	0.5834537949
59	0.582450395
60	0.5814022785
61	0.5804508919
62	0.5795017637
63	0.5784782295
64	0.5774432955
65	0.5765588917
66	0.5756266913
67	0.5746549899
68	0.5737939096
69	0.572859842
70	0.5719315348
71	0.5710625391
72	0.5702078879
73	0.5693688281
74	0.5685404352
75	0.5676131708
76	0.5668222008
77	0.5659701685
78	0.5652144166
79	0.5644721937
80	0.563731684
81	0.5629424211
82	0.5621644546
83	0.5614662546
84	0.5607815241
85	0.5600759166
86	0.5594209209
87	0.5587394112
88	0.5581451865
89	0.5575028409
90	0.5569378344
91	0.5563002451
92	0.5556098886
93	0.5549740846
94	0.5543042798
95	0.5536447459
96	0.5530473594
97	0.5524577245
98	0.5517837806
99	0.5512306597
100	0.550703511
101	0.5500945983
102	0.5495294043
103	0.5489904046
104	0.5484838206
105	0.5479497249
106	0.5474400392
107	0.5468737679
108	0.5463936937
109	0.5458782765
110	0.5455037784
111	0.5449772438
112	0.5445270305
113	0.543993616
114	0.5435294932
115	0.5430399188
116	0.5426129414
117	0.542208625
118	0.5417895559
119	0.541309179
120	0.5408454214
121	0.540422814
122	0.539978409
123	0.539545487
124	0.5392556789
125	0.5388273052
126	0.5384210885
127	0.5380204065
128	0.5375962802
129	0.5371650788
130	0.5367673625
131	0.5363927671
132	0.536048731
133	0.5357152508
134	0.5354332629
135	0.5351516062
136	0.5347522182
137	0.5344205504
138	0.5340885144
139	0.5337006966
140	0.5333369289
141	0.5329744717
142	0.5326515376
143	0.5322588388
144	0.5319068775
145	0.5315851455
146	0.5313110414
147	0.5309792696
148	0.5306427316
149	0.5303833485
150	0.5300331996
151	0.5297157511
152	0.5294319941
153	0.5291299418
154	0.5288637421
155	0.5285413216
156	0.5282210684
157	0.5279380627
158	0.5276119153
159	0.5273667501
160	0.5270951356
161	0.526810952
162	0.5265008295
163	0.5262876692
164	0.5260364133
165	0.5257577273
166	0.5255021873
167	0.5252028196
168	0.5249992223
169	0.5247157089
170	0.5244995021
171	0.5242325398
172	0.5239953446
173	0.5237315979
174	0.5234855207
175	0.5232673815
176	0.5230337775
177	0.5227312552
178	0.5225694691
179	0.52230124
180	0.5220941183
181	0.5218680676
182	0.5216437994
183	0.5214508252
184	0.5212221275
185	0.5210063648
186	0.5207971512
187	0.5205720045
188	0.5203472482
189	0.5201402113
190	0.5199403854
191	0.519723696
192	0.5194633479
193	0.5192844864
194	0.5191162985
195	0.5189091302
196	0.5187079993
197	0.5184666171
198	0.5182595913
199	0.5180567182
200	0.5178455945
201	0.5176301698
202	0.5174456898
203	0.5172688096
204	0.5171140817
205	0.5169540882
206	0.5166969532
207	0.5165306184
208	0.5163218024
209	0.5161804077
210	0.5160069404
211	0.5158240483
212	0.5156645689
213	0.5154698712
214	0.5152555328
215	0.5150442183
